num_pairs,star,name,ra,dec,culture,color
6,76127,Corona Borealis,15.548829000000001,31.359133,western,#5bc4c7
6,29651,Monoceros,6.247592,-6.274776,western,#5bc4c7
6,30277,Columba,6.368564,-33.4364,western,#5bc4c7
6,109492,Cepheus,22.180908,58.201260999999995,western,#5bc4c7
6,43142,外厨,8.787496,-1.8970330000000002,chinese_medieval,#e36856
6,9487,外屏,2.0341169999999997,2.763759,chinese_medieval,#e36856
6,100345,牛宿,20.350187,-14.781367000000001,chinese_medieval,#e36856
6,10054,六甲,2.157062,81.29594499999997,chinese_medieval,#e36856
6,37447,天狗,7.687454,-9.551131,chinese_medieval,#e36856
6,51814,天牢,10.586017,57.082637,chinese_medieval,#e36856
6,17847,Yôkoro wiwa,3.819373,24.053415,lokono,#f6b8bb
6,78493,софра,16.024047,29.851060999999998,macedonian,#bdb6a9
6,78493,ʻAo ʻo ʻUvea,16.024047,29.851060999999998,tongan,#c7d5d6
6,20889,Su Pinnetu,4.476943,19.180431,sardinian,#d3bc93
6,25428,Sa Mandra,5.438198000000001,28.60745,sardinian,#d3bc93
6,76127,Madoodiswan,15.548829000000001,31.359133,ojibwe,#877b93
